Year,Month, Oceanic Nino Index
1959,1,0.61
1959,2,0.62
1959,3,0.52
1959,4,0.33
1959,5,0.2
1959,6,-0.07
1959,7,-0.18
1959,8,-0.28
1959,9,-0.09
1959,10,-0.03
1959,11,0.05
1959,12,-0.04
1960,1,-0.1
1960,2,-0.1
1960,3,-0.07
1960,4,0.03
1960,5,0.02
1960,6,0.03
1960,7,0.13
1960,8,0.24
1960,9,0.27
1960,10,0.2
1960,11,0.12
1960,12,0.05
1961,1,0.04
1961,2,0.03
1961,3,0.04
1961,4,0.09
1961,5,0.23
1961,6,0.27
1961,7,0.14
1961,8,-0.13
1961,9,-0.3
1961,10,-0.26
1961,11,-0.19
1961,12,-0.16
1962,1,-0.24
1962,2,-0.22
1962,3,-0.2
1962,4,-0.26
1962,5,-0.28
1962,6,-0.2
1962,7,-0.04
1962,8,-0.07
1962,9,-0.11
1962,10,-0.22
1962,11,-0.31
1962,12,-0.43
1963,1,-0.4
1963,2,-0.15
1963,3,0.15
1963,4,0.27
1963,5,0.31
1963,6,0.52
1963,7,0.86
1963,8,1.14
1963,9,1.22
1963,10,1.29
1963,11,1.37
1963,12,1.31
1964,1,1.07
1964,2,0.62
1964,3,0.12
1964,4,-0.33
1964,5,-0.58
1964,6,-0.58
1964,7,-0.6
1964,8,-0.66
1964,9,-0.76
1964,10,-0.8
1964,11,-0.82
1964,12,-0.78
1965,1,-0.59
1965,2,-0.28
1965,3,-0.07
1965,4,0.18
1965,5,0.46
1965,6,0.83
1965,7,1.22
1965,8,1.54
1965,9,1.85
1965,10,1.98
1965,11,1.97
1965,12,1.72
1966,1,1.37
1966,2,1.17
1966,3,0.98
1966,4,0.66
1966,5,0.35
1966,6,0.24
1966,7,0.24
1966,8,0.12
1966,9,-0.05
1966,10,-0.1
1966,11,-0.18
1966,12,-0.3
1967,1,-0.41
1967,2,-0.48
1967,3,-0.53
1967,4,-0.45
1967,5,-0.24
1967,6,0
1967,7,0.05
1967,8,-0.16
1967,9,-0.3
1967,10,-0.38
1967,11,-0.34
1967,12,-0.44
1968,1,-0.64
1968,2,-0.74
1968,3,-0.62
1968,4,-0.44
1968,5,-0.04
1968,6,0.28
1968,7,0.58
1968,8,0.53
1968,9,0.45
1968,10,0.55
1968,11,0.73
1968,12,0.98
1969,1,1.13
1969,2,1.09
1969,3,0.95
1969,4,0.77
1969,5,0.61
1969,6,0.43
1969,7,0.36
1969,8,0.51
1969,9,0.79
1969,10,0.86
1969,11,0.81
1969,12,0.63
1970,1,0.51
1970,2,0.34
1970,3,0.29
1970,4,0.19
1970,5,0.04
1970,6,-0.3
1970,7,-0.63
1970,8,-0.76
1970,9,-0.77
1970,10,-0.74
1970,11,-0.86
1970,12,-1.15
1971,1,-1.36
1971,2,-1.38
1971,3,-1.12
1971,4,-0.85
1971,5,-0.73
1971,6,-0.74
1971,7,-0.8
1971,8,-0.77
1971,9,-0.82
1971,10,-0.85
1971,11,-0.96
1971,12,-0.9
1972,1,-0.71
1972,2,-0.35
1972,3,0.06
1972,4,0.41
1972,5,0.67
1972,6,0.92
1972,7,1.13
1972,8,1.37
1972,9,1.58
1972,10,1.84
