Entity,Code,Day,monthly_sea_surface_temperature_anomaly
Northern Hemisphere,,1850-01-15,-0.1896
Northern Hemisphere,,1850-02-15,-0.1772
Northern Hemisphere,,1850-03-15,-0.4869
Northern Hemisphere,,1850-04-15,-0.21
Northern Hemisphere,,1850-05-15,-0.2805
Northern Hemisphere,,1850-06-15,-0.0626
Northern Hemisphere,,1850-07-15,-0.227
Northern Hemisphere,,1850-08-15,-0.2619
Northern Hemisphere,,1850-09-15,-0.3027
Northern Hemisphere,,1850-10-15,-0.363
Northern Hemisphere,,1850-11-15,-0.1682
Northern Hemisphere,,1850-12-15,-0.2155
Northern Hemisphere,,1851-01-15,-0.1811
Northern Hemisphere,,1851-02-15,-0.387
Northern Hemisphere,,1851-03-15,-0.2349
Northern Hemisphere,,1851-04-15,-0.3371
Northern Hemisphere,,1851-05-15,-0.2213
Northern Hemisphere,,1851-06-15,-0.1245
Northern Hemisphere,,1851-07-15,-0.1976
Northern Hemisphere,,1851-08-15,-0.2555
Northern Hemisphere,,1851-09-15,0.0232
Northern Hemisphere,,1851-10-15,0.0572
Northern Hemisphere,,1851-11-15,0.1932
Northern Hemisphere,,1851-12-15,0.1538
Northern Hemisphere,,1852-01-15,0.1549
Northern Hemisphere,,1852-02-15,-0.2795
Northern Hemisphere,,1852-03-15,-0.1702
Northern Hemisphere,,1852-04-15,-0.2004
Northern Hemisphere,,1852-05-15,-0.1698
Northern Hemisphere,,1852-06-15,0.1618
Northern Hemisphere,,1852-07-15,-0.1353
Northern Hemisphere,,1852-08-15,0.0224
Northern Hemisphere,,1852-09-15,0.004
Northern Hemisphere,,1852-10-15,0.0362
Northern Hemisphere,,1852-11-15,-0.0331
Northern Hemisphere,,1852-12-15,0.1141
Northern Hemisphere,,1853-01-15,0.0897
Northern Hemisphere,,1853-02-15,0.1825
Northern Hemisphere,,1853-03-15,0.0449
Northern Hemisphere,,1853-04-15,-0.0514
Northern Hemisphere,,1853-05-15,-0.0354
Northern Hemisphere,,1853-06-15,0.0304
Northern Hemisphere,,1853-07-15,-0.029
Northern Hemisphere,,1853-08-15,-0.2252
Northern Hemisphere,,1853-09-15,-0.294
Northern Hemisphere,,1853-10-15,-0.2887
Northern Hemisphere,,1853-11-15,-0.1782
Northern Hemisphere,,1853-12-15,-0.0975
Northern Hemisphere,,1854-01-15,-0.0457
Northern Hemisphere,,1854-02-15,-0.1703
Northern Hemisphere,,1854-03-15,0.0504
Northern Hemisphere,,1854-04-15,-0.0291
Northern Hemisphere,,1854-05-15,-0.0215
Northern Hemisphere,,1854-06-15,-0.1128
Northern Hemisphere,,1854-07-15,-0.1604
Northern Hemisphere,,1854-08-15,0.1062
Northern Hemisphere,,1854-09-15,-0.0448
Northern Hemisphere,,1854-10-15,-0.1916
Northern Hemisphere,,1854-11-15,-0.2144
Northern Hemisphere,,1854-12-15,-0.262
Northern Hemisphere,,1855-01-15,0.043
Northern Hemisphere,,1855-02-15,-0.0975
Northern Hemisphere,,1855-03-15,0.1016
Northern Hemisphere,,1855-04-15,-0.0973
Northern Hemisphere,,1855-05-15,-0.3315
Northern Hemisphere,,1855-06-15,-0.1064
Northern Hemisphere,,1855-07-15,-0.17
Northern Hemisphere,,1855-08-15,-0.1045
Northern Hemisphere,,1855-09-15,-0.2294
Northern Hemisphere,,1855-10-15,0.1234
Northern Hemisphere,,1855-11-15,0.0449
Northern Hemisphere,,1855-12-15,-0.0498
Northern Hemisphere,,1856-01-15,-0.1054
Northern Hemisphere,,1856-02-15,-0.1872
Northern Hemisphere,,1856-03-15,-0.141
Northern Hemisphere,,1856-04-15,-0.1192
Northern Hemisphere,,1856-05-15,0.0052
Northern Hemisphere,,1856-06-15,-0.2344
Northern Hemisphere,,1856-07-15,-0.4958
Northern Hemisphere,,1856-08-15,-0.3816
Northern Hemisphere,,1856-09-15,-0.2574
Northern Hemisphere,,1856-10-15,-0.1625
Northern Hemisphere,,1856-11-15,-0.5705
Northern Hemisphere,,1856-12-15,-0.6273
Northern Hemisphere,,1857-01-15,-0.5632
Northern Hemisphere,,1857-02-15,-0.2204
Northern Hemisphere,,1857-03-15,-0.3597
Northern Hemisphere,,1857-04-15,-0.3652
Northern Hemisphere,,1857-05-15,-0.3177
Northern Hemisphere,,1857-06-15,-0.1062
Northern Hemisphere,,1857-07-15,-0.3346
Northern Hemisphere,,1857-08-15,-0.2043
Northern Hemisphere,,1857-09-15,-0.1558
Northern Hemisphere,,1857-10-15,-0.371
Northern Hemisphere,,1857-11-15,-0.4278
Northern Hemisphere,,1857-12-15,-0.2709
Northern Hemisphere,,1858-01-15,-0.2677
Northern Hemisphere,,1858-02-15,-0.319
Northern Hemisphere,,1858-03-15,-0.4109
Northern Hemisphere,,1858-04-15,-0.2418
Northern Hemisphere,,1858-05-15,-0.5026
Northern Hemisphere,,1858-06-15,-0.5382
Northern Hemisphere,,1858-07-15,-0.4777
Northern Hemisphere,,1858-08-15,-0.4728
Northern Hemisphere,,1858-09-15,-0.4413
Northern Hemisphere,,1858-10-15,-0.049
Northern Hemisphere,,1858-11-15,-0.2589
Northern Hemisphere,,1858-12-15,-0.2132
Northern Hemisphere,,1859-01-15,-0.3382
Northern Hemisphere,,1859-02-15,-0.2852
Northern Hemisphere,,1859-03-15,-0.1449
Northern Hemisphere,,1859-04-15,-0.1081
Northern Hemisphere,,1859-05-15,-0.2228
Northern Hemisphere,,1859-06-15,-0.0948
Northern Hemisphere,,1859-07-15,-0.2864
Northern Hemisphere,,1859-08-15,-0.0353
Northern Hemisphere,,1859-09-15,-0.3654
Northern Hemisphere,,1859-10-15,-0.1777
Northern Hemisphere,,1859-11-15,-0.329
Northern Hemisphere,,1859-12-15,-0.3512
Northern Hemisphere,,1860-01-15,-0.4091
Northern Hemisphere,,1860-02-15,-0.2697
Northern Hemisphere,,1860-03-15,-0.119
Northern Hemisphere,,1860-04-15,-0.1132
Northern Hemisphere,,1860-05-15,-0.2432
Northern Hemisphere,,1860-06-15,-0.3247
Northern Hemisphere,,1860-07-15,-0.2119
Northern Hemisphere,,1860-08-15,-0.3215
Northern Hemisphere,,1860-09-15,-0.1089
Northern Hemisphere,,1860-10-15,-0.0173
Northern Hemisphere,,1860-11-15,-0.0316
Northern Hemisphere,,1860-12-15,-0.0483
Northern Hemisphere,,1861-01-15,-0.3064
Northern Hemisphere,,1861-02-15,-0.8917
Northern Hemisphere,,1861-03-15,-0.4225
Northern Hemisphere,,1861-04-15,0.0906
Northern Hemisphere,,1861-05-15,-0.226
Northern Hemisphere,,1861-06-15,-0.1597
Northern Hemisphere,,1861-07-15,0.0794
Northern Hemisphere,,1861-08-15,-0.1943
Northern Hemisphere,,1861-09-15,-0.2428
Northern Hemisphere,,1861-10-15,-0.1305
Northern Hemisphere,,1861-11-15,0.0433
Northern Hemisphere,,1861-12-15,0.0068
Northern Hemisphere,,1862-01-15,-0.3818
Northern Hemisphere,,1862-02-15,-0.6472
Northern Hemisphere,,1862-03-15,-0.5501
Northern Hemisphere,,1862-04-15,-0.4462
Northern Hemisphere,,1862-05-15,-0.3513
Northern Hemisphere,,1862-06-15,-0.3316
Northern Hemisphere,,1862-07-15,-0.4094
Northern Hemisphere,,1862-08-15,-0.7463
Northern Hemisphere,,1862-09-15,-0.3782
Northern Hemisphere,,1862-10-15,-0.3922
Northern Hemisphere,,1862-11-15,-0.7003
Northern Hemisphere,,1862-12-15,-0.6012
Northern Hemisphere,,1863-01-15,-0.3272
Northern Hemisphere,,1863-02-15,-0.4529
Northern Hemisphere,,1863-03-15,-0.1021
Northern Hemisphere,,1863-04-15,-0.1666
Northern Hemisphere,,1863-05-15,-0.2955
Northern Hemisphere,,1863-06-15,-0.2368
Northern Hemisphere,,1863-07-15,-0.4442
Northern Hemisphere,,1863-08-15,-0.301
Northern Hemisphere,,1863-09-15,-0.287
Northern Hemisphere,,1863-10-15,-0.3086
Northern Hemisphere,,1863-11-15,-0.5054
