Terremoti (anno),Geni,mexicodoug,nixonrichard,aletoledo,Terremoti dal 1800 (giorni dall'anno 0)
-2150,190,1192512184,1192460745,1192543939,657451
-2000,337,1192512895,1192461036,1192544491,657518
-2000,2801,1192513926,1192461795,1192547032,657940
-1610,3734,1192514219,1192463119,1192547646,657949
-1566,5234,1192516062,1192463865,1192547960,658259
-1450,5683,1192516225,1192471122,1192549013,658312
-1365,6529,1192516850,1192484103,1192552034,658391
-1250,8238,1192517182,1192556242,1192552294,658405
-1050,9306,1192519716,1192556481,1192552335,658476
-759,9928,1192521152,1192556732,1192552850,658487
-590,10643,1192523233,1192557542,1192553032,658519
-550,10725,1192524097,1192557805,1192554047,658576
-525,11382,1192524498,1192557894,1192554398,658786
-480,12163,1192524861,1192561238,1192556733,658919
-479,12163,1192524969,1192564706,1192558132,658924
-432,12163,1192525726,1192642934,1192558523,659069
-426,14168,1192526591,1192646105,1192559150,659101
-400,15445,1192527286,1192647497,1192559597,659146
-373,15869,1192527893,1192691855,1192559930,659277
-364,16751,1192528358,1192698653,1192560088,659303
-330,17489,1192528981,1192699638,1192560569,659442
-326,18715,1192529629,1192701064,1192561060,659482
-282,19811,1192530649,1192701843,1192561714,659726
-282,20233,1192531118,1192702557,1192563002,659802
-250,20815,1192531452,1192702844,1192563431,659877
-241,21181,1192559699,1192703898,1192563712,659972
-227,21407,1192663934,1192735007,1192565703,660373
-223,22391,1192665552,1192736377,1192567638,660463
-221,25207,1192665986,1192737942,1192567774,660464
-217,25826,1192669336,1192819604,1192568171,660590
-216,26277,1192698885,1192819673,1192630078,660651
-210,27293,1192699732,1192911879,1192630415,660718
-198,28374,1192701199,1192912565,1192632158,660738
-193,29651,1192702561,1192913035,1192635259,661071
-186,30817,1192704012,1192929648,1192636852,661074
-177,34195,1192705318,1192930442,1192636914,661148
-70,34781,1192705573,1192931374,1192637033,661182
-63,35377,1192706990,1192932125,1192639548,661339
-60,36271,1192707234,1192933516,1192640718,661367
-58,37898,1192708838,1192937359,1192642127,661373
-50,39244,1192708905,1192946455,1192642597,661468
-50,40417,1192709197,1192953086,1192642810,661545
-47,42367,1192769049,1192957669,1192644170,661734
-33,43188,1192773938,1192958871,1192646860,661742
-31,44180,1192774917,1192959127,1192647308,661786
-27,45463,1192775315,1192993089,1192647742,661813
-26,45807,1192775917,1192993308,1192647952,661856
-26,47246,1192776020,1192993409,1192648741,661870
-15,47769,1192778548,1192993552,1192648982,661901
10,47769,1192778899,1193018978,1192649170,661915
11,49823,1192779344,1193030817,1192649358,661916
17,50380,1192779469,1193070869,1192649583,661919
23,51229,1192779884,1193071079,1192650029,662006
25,51609,1192780316,1193075306,1192650580,662144
27,52427,1192781108,1193101193,1192650923,662170
29,53416,1192783761,1193103081,1192651138,662171
33,54755,1192785480,1193249600,1192651798,662184
37,57364,1192788160,1193249766,1192652013,662199
46,58474,1192788796,1193255319,1192653706,662288
50,59121,1192789051,1193280049,1192654918,662564
52,59687,1192789575,1193280934,1192655047,662595
52,60358,1192790489,1193281007,1192715999,662597
55,63429,1192792613,1193292313,1192716079,662705
57,65855,1192792981,1193296981,1192716779,662887
60,66835,1192793543,1193299676,1192717184,662929
62,68348,1192794051,1193300689,1192717962,663029
63,68348,1192794295,1193300930,1192718246,663051
68,70387,1192794758,1193301074,1192718555,663211
76,71351,1192795146,1193336676,1192719037,663221
79,72229,1192795961,1193337490,1192719276,663250
89,72911,1192796035,1193337857,1192720114,663259
93,72911,1192804201,1193339151,1192720639,663326
100,74497,1192804424,1193339274,1192721075,663415
105,75644,1192808162,1193379059,1192725324,663496
109,77621,1192809071,1193429137,1192725777,663632
115,77621,1192859577,1193429852,1192726200,663667
120,77621,1192860199,1193430494,1192726590,663730
123,78848,1192862702,1193431306,1192728319,663750
128,79464,1192862840,1193431410,1192728616,663892
138,80867,1192863450,1193439931,1192729406,664074
142,81958,1192863868,1193440562,1192729825,664077
143,83622,1192867251,1193444805,1192733970,664102
155,84191,1192867632,1193509381,1192734292,664115
170,85540,1192868255,1193509777,1192734643,664137
173,85540,1192869917,1193510824,1192734998,664175
177,87357,1192870426,1193512556,1192737253,664272
177,87860,1192871141,1193513133,1192738046,664332
180,88028,1192871400,1193513970,1192738369,664443
243,89634,1192874484,1193518381,1192738681,664450
251,90094,1192878052,1193519512,1192738948,664482
253,91032,1192879567,1193520128,1192739000,664483
258,91413,1192880107,1193523365,1192739807,664491
262,93166,1192880312,1193523631,1192741122,664535
294,93166,1192880765,1193524204,1192741205,664555
294,94650,1192880970,1193524678,1192741538,664630
304,96002,1192881305,1193526509,1192742037,664756
306,97087,1192882028,1193526607,1192800126,664816
315,98403,1192882593,1193526830,1192800616,664832
319,99644,1192882926,1193527352,1192800984,664879
324,100765,1192883759,1193528595,1192801124,664968
334,102233,1192884207,1193605592,1192801585,665034
340,103155,1192885398,1193606078,1192801799,665044
341,103982,1192914516,1193610492,1192802455,665114
342,105305,1192914669,1193613972,1192802716,665126
342,106557,1192916015,1193633968,1192803503,665218
344,107630,1192917404,1193634535,1192804012,665240
344,108279,1192917844,1193701381,1192804119,665310
344,111044,1192919044,1193701924,1192804519,665437
346,111564,1192919600,1193702720,1192805080,665612
348,111649,1192921041,1193704619,1192805343,665653
350,111856,1192921709,1193704988,1192805441,665708
355,112599,1192922518,1193705559,1192805626,665730
358,113444,1192922589,1193705744,1192806250,665805
361,114407,1192923060,1193731752,1192806604,665810
362,114522,1192923611,1193770031,1192806906,665816
362,115714,1192923815,1193770197,1192807227,665851
365,117109,1192924022,1193801717,1192807389,665915
367,117752,1192924414,1193802164,1192807639,666000
368,118733,1192925450,1193822372,1192810562,666019
368,119281,1192925527,1193823154,1192811254,666061
369,120178,1192926496,1193856010,1192816391,666091
382,122092,1192926867,1193856343,1192816597,666097
394,123017,1192927392,1193856475,1192821226,666120
396,125695,1192930190,1193856766,1192824419,666180
407,125695,1192930851,1193859055,1192825013,666316
412,127912,1192964050,1193859200,1192825487,666368
419,129407,1192964842,1193859284,1192825516,666391
425,131615,1192964899,1193859558,1192825818,666469
427,134340,1192965765,1193861543,1192825946,666485
438,134788,1192966353,1193861700,1192826339,666512
440,135598,1192972125,1193861926,1192826455,666546
447,136570,1192979439,1193862005,1192827096,666582
448,137083,1192981689,1193862362,1192923170,666600
450,138835,1192982276,1193862888,1192923417,666637
457,141419,1192984282,1193868160,1192923668,666643
458,142008,1192985141,1193886465,1192923822,666672
460,142779,1192986801,1193886735,1192924218,666842
470,143702,1193050336,1193890869,1192925291,666852
477,144577,1193050502,1193899465,1192925616,666947
478,145081,1193052294,1193904284,1192925823,667114
494,146314,1193054429,1193911025,1192926278,667204
499,146968,1193055410,1193911267,1192926675,667394
500,147944,1193056098,1193911570,1192927710,667462
501,148807,1193074341,1193913429,1192927844,667530
510,149715,1193074816,1194026095,1192928378,667577
512,151003,1193075774,1194026202,1192928732,667627
518,151626,1193077870,1194026360,1192928960,667641
521,152243,1193079631,1194027097,1192929562,667709
522,152829,1193080026,1194027430,1192929916,667767
522,152829,1193080152,1194027845,1192930537,667823
525,155461,1193080253,1194028297,1192930622,667833
527,156299,1193080644,1194029160,1192930660,667896
528,157253,1193081800,1194029496,1192931065,667986
533,157729,1193090190,1194029736,1192931608,668025
543,159186,1193093877,1194030351,1192931683,668036
551,160149,1193106029,1194030445,1192932835,668109
551,160782,1193106373,1194030640,1192974149,668123
551,161501,1193106465,1194030721,1192974292,668155
552,162060,1193108042,1194031084,1192974505,668167
553,164730,1193108221,1194031257,1192974723,668308
554,164730,1193109349,1194031945,1192999451,668360
555,167484,1193110134,1194032417,1192999765,668361
557,169778,1193110442,1194064152,1192999927,668368
557,170575,1193110827,1194064366,1193001253,668408
557,171462,1193111127,1194067540,1193001920,668425
558,171462,1193111958,1194110927,1193002492,668476
558,171462,1193112250,1194111211,1193004779,668500
565,173602,1193112612,1194111297,1193005143,668536
567,175107,1193113302,1194112178,1193005271,668569
579,176610,1193113930,1194112510,1193005525,668636
581,177001,1193114491,1194113471,1193006403,668663
587,177662,1193115611,1194113772,1193010999,668773
600,178455,1193116569,1194114481,1193011554,668865
614,179237,1193117567,1194115046,1193011613,668918
634,180884,1193118754,1194120868,1193011819,668993
649,180884,1193118826,1194122864,1193011877,669023
662,182445,1193119057,1194124108,1193012207,669040
664,183709,1193120071,1194124420,1193012856,669051
678,184257,1193151592,1194202311,1193013136,669105
684,184987,1193152034,1194202529,1193013258,669151
688,185123,1193152206,1194203203,1193013473,669160
701,185978,1193152675,1194206985,1193013749,669206
704,188712,1193152967,1194207337,1193013978,669522
713,189874,1193154248,1194207614,1193014077,669573
715,190857,1193154733,1194207978,1193014370,669618
716,191855,1193155990,1194231979,1193014534,669653
734,192872,1193159593,1194232070,1193014849,669739
735,193521,1193159638,1194232337,1193015007,669749
740,194903,1193163029,1194232929,1193015372,669761
742,195785,1193163562,1194242940,1193016283,669827
743,196546,1193165939,1194243043,1193016536,669840
743,197928,1193171908,1194243080,1193016804,669869
744,200482,1193172016,1194250159,1193016914,669888
745,200971,1193172829,1194250558,1193017297,669907
745,200971,1193232606,1194250848,1193017398,669912
746,202101,1193233372,1194285193,1193017772,669929
748,202560,1193236338,1194286650,1193018256,669942
749,203348,1193243394,1194286950,1193018371,669969
758,204493,1193313037,1194288939,1193018467,669989
763,205126,1193313303,1194289587,1193018672,670010
766,208621,1193317145,1194292742,1193018735,670011
777,209679,1193317379,1194328084,1193019243,670090
778,211850,1193318661,1194461158,1193019981,670148
778,212331,1193320502,1194462901,1193020359,670153
780,213678,1193322643,1194464015,1193022189,670283
788,213925,1193416215,1194464638,1193022278,670341
793,214291,1193416373,1194465135,1193022397,670433
796,214833,1193416618,1194466211,1193022543,670466
801,215269,1193419503,1194721312,1193022599,670515
802,216179,1193419710,1194739323,1193022855,670534
803,217057,1193423625,1194755080,1193023699,670664
811,218887,1193424217,1194755116,1193023809,670713
814,219591,1193425861,1194755796,1193023942,670759
818,220113,1193426340,1194755845,1193025460,670782
818,220968,1193427471,1194756665,1193057551,670919
820,221614,1193427976,1194756887,1193057650,670927
835,222833,1193428330,1194810248,1193058150,670965
838,223771,1193428584,1194810922,1193058429,671065
842,225381,1193430897,1194811094,1193058930,671176
844,225500,1193431320,1194811278,1193059392,671183
845,225759,1193431915,1194811466,1193059538,671214
846,228756,1193432069,1194811723,1193059819,671233
847,228928,1193433514,1194830500,1193060021,671252
847,229167,1193433826,1194842714,1193060323,671271
847,229967,1193434600,1194917809,1193061075,671286
850,229967,1193440881,1194931208,1193061908,671292
850,231122,1193441245,1194931365,1193062010,671330
851,231926,1193441746,1194932064,1193062228,671352
853,232597,1193442497,1194972757,1193064900,671456
854,234027,1193443146,1194974716,1193066196,671480
854,234798,1193469269,1194974889,1193067067,671705
854,235535,1193470274,1194975125,1193067766,671731
855,236067,1193470477,1194975193,1193068063,671747
856,236931,1193470704,1194975378,1193070081,671754
856,237335,1193470979,1194975608,1193070777,671776
856,238746,1193471270,1194976160,1193070951,671777
856,239419,1193530742,1194976263,1193071244,671796
857,240343,1193530939,1194976426,1193071463,671815
858,240859,1193532002,1194976494,1193071897,671871
858,243543,1193534678,1194978776,1193072465,671920
859,244327,1193534858,1194979035,1193072641,672064
860,245065,1193535094,1194980587,1193074016,672088
863,245961,1193535933,1194991987,1193074201,672104
863,246242,1193535982,1194992953,1193074361,672142
863,246712,1193537464,1195086903,1193074503,672242
863,247637,1193537610,1195088262,1193074976,672297
864,248358,1193539594,1195110800,1193075292,672360
867,250042,1193540327,1195117941,1193075815,672371
869,250898,1193540850,1195230496,1193077418,672562
871,252005,1193542495,1195230651,1193077490,672590
876,252301,1193543909,1195230925,1193077923,672667
881,252709,1193544411,1195231516,1193078889,672751
885,253467,1193545590,1195233508,1193080227,672771
887,253702,1193546045,1195236967,1193080305,672792
887,254259,1193546704,1195237105,1193080491,672839
891,255977,1193547315,1195321168,1193080974,672898
893,256527,1193549077,1195321460,1193082762,672917
894,257829,1193549409,1195321836,1193082897,672951
896,258269,1193552909,1195321926,1193083030,673091
896,258269,1193554323,1195321972,1193083945,673101
898,259612,1193605498,1195322049,1193085762,673128
910,260727,1193615566,1195343620,1193086284,673160
912,262095,1193615750,1195356130,1193087868,673186
922,262552,1193617865,1195369527,1193091443,673192
942,262914,1193618904,1195416969,1193093421,673193
942,263480,1193619194,1195421400,1193096344,673246
943,263972,1193621301,1195495592,1193096717,673263
951,264528,1193622065,1195496006,1193097635,673270
953,264844,1193688492,1195496173,1193097904,673343
956,265334,1193689032,1195496894,1193098171,673443
957,266408,1193689376,1195533497,1193099109,673502
957,267321,1193696520,1195575238,1193099398,673627
958,267321,1193697347,1195575670,1193101997,673642
958,268513,1193700224,1195576456,1193104476,673653
